season,soil_moisture,temperature,humidity,rain_probability,time_of_day,soil_ec,action_state
Pre-Monsoon,467,28.9,70,0.15,2,1.17,0
Pre-Monsoon,790,31.4,75,0.21,13,1.81,1
Monsoon,537,24.1,90,0.81,20,2.38,0
Monsoon,558,27.0,98,0.87,21,3.0,0
Post-Monsoon,642,19.2,73,0.39,14,3.3,0
Winter,558,21.2,73,0.1,11,1.72,1
Post-Monsoon,317,22.7,78,0.18,12,2.99,0
Post-Monsoon,549,27.1,78,0.17,13,1.62,0
Pre-Monsoon,707,30.9,74,0.41,8,1.51,0
Post-Monsoon,404,23.5,83,0.21,13,2.58,0
Post-Monsoon,879,26.4,73,0.26,19,1.87,1
Pre-Monsoon,803,28.4,61,0.56,15,1.16,0
Monsoon,440,25.4,86,0.64,20,0.99,0
Monsoon,695,22.2,96,0.54,4,2.15,0
Pre-Monsoon,440,31.7,78,0.34,23,2.29,0
Post-Monsoon,917,18.6,74,0.27,14,2.68,1
Monsoon,703,29.4,95,0.71,6,2.41,0
Monsoon,567,23.8,87,0.63,11,1.4,0
Post-Monsoon,550,25.2,74,0.24,20,2.37,0
Monsoon,393,22.2,95,0.88,1,1.34,0
Winter,526,21.7,80,0.05,21,3.09,0
Pre-Monsoon,605,30.2,61,0.56,8,2.52,0
Post-Monsoon,942,25.3,71,0.17,21,2.43,1
Monsoon,289,24.9,94,0.63,17,2.14,0
Monsoon,467,29.7,89,0.94,13,1.83,0
Monsoon,756,27.7,91,0.52,4,1.31,0
Monsoon,848,27.9,91,0.89,14,1.46,0
Monsoon,753,28.6,98,0.66,13,2.29,0
Post-Monsoon,841,19.1,72,0.13,12,1.7,1
Monsoon,922,29.0,85,0.53,19,2.74,0
Winter,330,18.9,80,0.09,19,1.89,0
Winter,474,18.1,80,0.06,4,1.08,0
Monsoon,472,27.4,91,0.73,12,1.34,0
Winter,355,19.6,79,0.06,8,2.57,0
Monsoon,935,26.1,97,0.58,10,2.18,0
Monsoon,811,23.5,91,0.51,17,2.08,0
Winter,467,17.7,76,0.0,3,2.17,0
Post-Monsoon,615,22.4,84,0.29,1,2.81,2
Post-Monsoon,344,27.4,76,0.35,1,2.84,0
Post-Monsoon,324,18.2,72,0.21,15,1.83,0
Monsoon,558,24.4,86,0.81,23,1.77,0
Pre-Monsoon,715,30.6,62,0.56,18,1.23,0
Monsoon,617,23.5,97,0.77,19,1.33,0
Post-Monsoon,543,22.0,85,0.16,12,2.35,0
Winter,274,15.6,80,0.08,20,1.08,4
Post-Monsoon,780,21.5,75,0.15,17,1.16,3
Monsoon,625,25.1,90,0.81,14,3.4,0
Winter,435,18.0,78,0.11,12,1.52,0
Monsoon,300,25.4,95,0.88,3,2.56,0
Pre-Monsoon,611,31.8,73,0.1,3,2.14,1
Pre-Monsoon,541,30.0,69,0.25,6,1.92,0
Post-Monsoon,322,24.0,83,0.2,12,1.18,4
Post-Monsoon,523,26.8,77,0.34,21,0.84,0
Monsoon,367,29.0,85,0.66,9,1.71,0
Monsoon,268,24.9,92,0.79,21,1.03,0
Monsoon,322,25.7,89,0.88,11,1.27,0
Pre-Monsoon,477,29.6,75,0.37,23,1.43,0
Monsoon,919,27.0,88,0.56,1,0.88,0
Monsoon,807,29.7,97,0.7,9,2.74,0
Winter,845,20.5,80,0.05,14,2.01,1
Monsoon,482,27.8,94,0.63,10,1.38,0
Post-Monsoon,347,19.5,79,0.27,12,2.24,0
Monsoon,705,22.4,96,0.82,16,2.57,0
Monsoon,715,27.2,90,0.82,14,1.5,0
Pre-Monsoon,834,29.4,70,0.14,7,1.48,1
Post-Monsoon,401,22.9,79,0.22,15,0.82,4
Monsoon,574,28.7,97,0.81,19,1.65,0
Winter,558,21.7,67,0.12,0,1.08,3
Post-Monsoon,608,25.4,72,0.11,23,1.5,1
Post-Monsoon,600,20.5,79,0.39,12,2.15,0
Pre-Monsoon,612,28.5,64,0.32,6,2.37,1
Monsoon,433,24.7,95,0.66,5,3.09,0
Winter,850,18.7,80,0.0,3,2.13,1
Pre-Monsoon,598,32.2,62,0.31,13,1.81,1
Monsoon,651,29.1,97,0.65,6,1.62,0
Post-Monsoon,510,27.5,85,0.32,4,1.04,0
Post-Monsoon,925,22.1,80,0.1,2,1.62,1
Monsoon,352,22.5,98,0.69,8,1.29,0
Winter,315,17.9,70,0.01,9,2.47,0
Pre-Monsoon,670,31.0,83,0.37,9,1.15,0
Post-Monsoon,558,26.7,85,0.35,10,1.11,3
Pre-Monsoon,538,27.6,60,0.15,22,2.67,0
Post-Monsoon,884,20.8,82,0.19,3,2.83,2
Monsoon,914,25.3,93,0.52,16,2.54,0
Monsoon,797,23.3,94,0.71,1,1.53,0
Pre-Monsoon,655,32.6,79,0.41,0,2.77,0
Pre-Monsoon,541,30.3,66,0.37,3,2.33,0
Monsoon,575,26.0,98,0.58,22,1.28,0
Post-Monsoon,634,27.5,78,0.37,22,1.61,0
Winter,830,19.1,68,0.01,15,2.16,1
Monsoon,501,25.6,87,0.65,15,2.55,0
Pre-Monsoon,686,30.7,79,0.27,14,1.55,1
Post-Monsoon,278,18.6,81,0.16,12,2.12,0
Pre-Monsoon,262,30.2,60,0.31,22,2.69,0
Monsoon,874,25.6,97,0.55,3,1.96,0
Winter,461,17.4,71,0.05,11,1.18,0
Monsoon,913,23.6,93,0.75,1,2.91,0
Monsoon,741,24.6,92,0.92,13,1.49,0
Pre-Monsoon,823,29.4,65,0.13,6,2.01,1
Pre-Monsoon,891,30.7,83,0.27,23,1.95,1
Post-Monsoon,357,27.0,77,0.11,16,1.07,4
Winter,446,13.5,73,0.11,7,1.35,0
Monsoon,821,23.5,91,0.96,23,1.3,0
Pre-Monsoon,716,31.3,69,0.52,4,1.48,0
Monsoon,727,22.2,92,0.87,11,1.58,0
Winter,332,17.5,72,0.05,4,1.23,0
Pre-Monsoon,722,31.2,84,0.46,3,1.78,0
Monsoon,299,26.8,88,0.69,2,3.14,0
Monsoon,482,26.0,93,0.55,14,2.27,0
Pre-Monsoon,648,25.3,62,0.16,22,1.3,1
Monsoon,894,26.6,87,0.83,22,1.98,0
Monsoon,835,27.8,85,0.86,3,2.6,0
Post-Monsoon,943,18.9,85,0.29,1,1.98,1
Post-Monsoon,512,25.2,83,0.33,16,1.47,0
Monsoon,610,28.3,97,0.79,8,1.73,0
Winter,393,16.2,67,0.11,2,0.84,4
Monsoon,730,22.1,94,0.64,14,2.7,0
Monsoon,760,25.5,91,0.91,16,1.68,0
Monsoon,324,27.8,88,0.9,4,1.43,0
Pre-Monsoon,630,31.9,63,0.59,18,1.6,0
Post-Monsoon,289,25.4,70,0.3,21,1.35,0
Post-Monsoon,875,22.5,78,0.31,11,2.2,1
Post-Monsoon,844,25.4,82,0.36,12,1.48,0
Monsoon,296,25.2,93,0.92,19,1.48,0
Winter,305,16.5,65,0.03,7,1.05,4
Monsoon,578,22.2,90,0.91,19,1.01,0
Post-Monsoon,738,24.4,74,0.15,21,1.84,1
Post-Monsoon,662,19.9,82,0.17,4,2.01,1
Post-Monsoon,765,27.5,85,0.12,0,2.23,1
Monsoon,528,24.9,93,1.0,17,1.83,0
Winter,499,18.7,71,0.04,21,2.18,0
Winter,870,17.9,80,0.13,7,1.02,3
Monsoon,895,23.4,89,0.84,22,2.05,0
Winter,600,17.1,71,0.04,22,1.56,1
Winter,489,19.8,65,0.08,1,1.28,0
Monsoon,365,28.9,92,0.9,14,1.28,0
Monsoon,413,24.0,94,0.64,5,2.17,0
Monsoon,320,22.4,97,0.59,13,1.3,0
Post-Monsoon,530,21.8,76,0.27,17,1.97,0
Winter,521,13.2,79,0.08,18,2.49,0
Post-Monsoon,611,21.2,85,0.25,15,1.95,1
Winter,314,15.2,80,0.09,21,1.8,0
Pre-Monsoon,482,29.6,68,0.34,23,1.89,0
Pre-Monsoon,458,26.2,66,0.22,22,1.5,0
Monsoon,405,25.0,96,0.56,0,2.81,0
Post-Monsoon,817,20.7,79,0.27,1,1.98,1
Winter,342,20.9,68,0.05,3,2.66,0
Winter,613,21.6,70,0.05,19,1.91,1
Pre-Monsoon,546,27.9,72,0.44,8,1.44,0
Post-Monsoon,438,26.7,83,0.15,12,1.29,0
Monsoon,739,28.6,98,0.87,2,2.14,0
Monsoon,442,26.6,87,0.85,5,1.63,0
Monsoon,442,25.5,89,0.62,19,1.36,0
Post-Monsoon,317,22.7,71,0.32,3,1.77,0
Monsoon,851,26.1,92,0.78,8,2.49,0
Post-Monsoon,611,18.7,71,0.37,13,1.52,0
Monsoon,939,29.0,94,0.84,13,1.53,0
Winter,782,19.0,74,0.07,8,1.51,1
Monsoon,742,23.7,94,0.88,13,1.72,0
Winter,287,15.2,69,0.13,11,2.78,0
Post-Monsoon,659,18.8,72,0.37,5,2.97,0
Monsoon,617,27.8,88,0.62,1,2.42,0
Monsoon,839,22.3,96,0.74,2,1.96,0
Monsoon,875,23.1,96,0.56,23,1.22,0
Winter,848,13.5,74,0.02,10,1.44,1
Monsoon,403,23.8,97,0.99,16,1.02,0
Winter,373,19.0,75,0.01,13,1.8,0
Post-Monsoon,898,25.5,72,0.27,5,0.99,3
Pre-Monsoon,756,30.0,83,0.28,4,1.77,1
Pre-Monsoon,396,25.6,84,0.54,11,2.15,0
Post-Monsoon,311,19.7,75,0.11,15,1.89,0
Post-Monsoon,402,20.2,78,0.24,12,1.98,0
Monsoon,663,23.2,94,0.92,2,2.75,0
Monsoon,876,26.4,93,0.66,5,1.93,0
Monsoon,601,24.4,85,0.51,16,2.19,0
Pre-Monsoon,410,27.8,77,0.48,22,1.5,0
Monsoon,868,25.2,95,0.84,1,2.79,0
Monsoon,734,22.5,86,0.87,21,1.63,0
Post-Monsoon,722,21.5,79,0.17,22,2.47,1
Winter,602,21.2,75,0.08,2,2.51,1
Pre-Monsoon,293,29.4,78,0.36,3,3.05,0
Monsoon,399,26.9,85,0.85,7,2.36,0
Pre-Monsoon,590,31.7,78,0.41,0,3.09,0
Monsoon,658,27.0,88,0.92,6,1.24,0
Monsoon,842,29.0,91,0.67,9,1.55,0
Monsoon,265,23.4,92,0.88,5,1.22,0
Monsoon,840,23.3,93,0.82,15,2.74,0
Pre-Monsoon,792,25.9,80,0.16,8,1.09,3
Monsoon,486,28.6,86,0.51,14,1.28,0
Pre-Monsoon,939,29.7,85,0.19,20,1.51,1
Post-Monsoon,430,18.9,83,0.35,23,1.76,0
Pre-Monsoon,381,28.4,77,0.18,21,2.11,0
Winter,396,12.2,70,0.07,5,2.51,0
Monsoon,507,22.5,93,0.9,7,0.88,0
Pre-Monsoon,576,28.5,73,0.38,9,1.47,0
Monsoon,580,22.2,95,0.92,2,1.6,0
Monsoon,479,25.0,98,0.87,20,1.29,0
Winter,490,13.7,68,0.08,7,1.92,0
Post-Monsoon,477,20.2,72,0.14,8,2.07,0
Monsoon,744,28.5,88,0.93,5,1.07,0
Monsoon,407,29.7,90,0.79,15,1.05,0
Pre-Monsoon,487,27.2,74,0.34,1,1.5,0
Post-Monsoon,263,25.0,75,0.19,11,1.27,0
Pre-Monsoon,619,25.8,68,0.49,11,2.04,0
Post-Monsoon,650,25.5,80,0.25,13,1.74,1
Monsoon,786,23.4,98,0.73,18,1.67,0
Pre-Monsoon,930,27.2,80,0.57,18,1.36,0
Winter,545,20.6,68,0.05,16,2.03,0
Monsoon,346,26.4,98,0.51,4,1.58,0
Monsoon,913,29.5,94,0.57,13,1.36,0
Monsoon,746,24.5,89,0.94,12,1.73,0
Monsoon,650,22.8,86,0.98,11,2.25,0
Winter,609,19.5,66,0.13,3,1.6,1
Winter,720,16.0,74,0.15,15,2.0,1
Pre-Monsoon,596,25.2,79,0.37,12,1.36,0
Monsoon,351,27.0,94,0.63,2,2.1,0
Monsoon,874,27.7,87,0.9,17,1.13,0
Winter,465,12.7,80,0.09,6,1.39,0
Post-Monsoon,916,26.7,79,0.28,2,2.45,1
Post-Monsoon,673,24.2,82,0.36,9,1.75,0
Winter,862,13.0,76,0.1,5,2.9,2
Post-Monsoon,444,21.7,78,0.26,10,1.79,0
Post-Monsoon,360,21.0,85,0.14,23,1.34,0
Monsoon,895,29.6,98,0.84,18,1.54,0
Pre-Monsoon,601,31.0,68,0.59,16,1.34,0
Monsoon,350,23.3,96,0.73,10,1.02,0
Monsoon,773,25.4,96,0.94,11,2.2,0
Post-Monsoon,553,27.2,81,0.37,5,1.82,0
Monsoon,860,24.3,91,0.88,7,2.16,0
Monsoon,533,26.0,97,0.67,7,1.12,0
Pre-Monsoon,925,29.2,68,0.12,2,1.7,1
Monsoon,921,29.2,90,0.78,21,2.37,0
Monsoon,611,24.4,96,0.56,15,1.22,0
Monsoon,719,29.0,95,0.81,22,1.58,0
Monsoon,794,25.2,88,0.91,15,2.6,0
Pre-Monsoon,785,28.9,61,0.3,7,2.92,2
Monsoon,306,22.1,95,0.68,7,2.37,0
Monsoon,593,24.9,94,0.54,18,3.1,0
Monsoon,472,24.9,94,0.79,23,1.77,0
Post-Monsoon,747,24.5,80,0.3,20,2.62,1
Pre-Monsoon,835,25.1,85,0.44,23,2.37,0
Monsoon,501,27.3,86,0.51,4,1.38,0
Monsoon,300,29.1,86,0.78,15,1.36,0
Winter,884,16.6,74,0.11,5,2.47,1
Monsoon,626,27.3,85,0.72,14,3.27,0
Monsoon,445,24.6,96,0.81,3,1.76,0
Pre-Monsoon,742,27.1,65,0.46,16,2.99,0
Monsoon,325,23.5,91,0.75,0,3.06,0
Pre-Monsoon,292,30.4,63,0.52,18,2.8,0
Post-Monsoon,258,23.9,79,0.31,6,1.04,4
Monsoon,868,25.6,94,0.61,1,2.53,0
Post-Monsoon,546,21.1,71,0.12,22,1.61,0
Pre-Monsoon,413,30.2,63,0.57,6,1.51,0
Pre-Monsoon,624,32.8,75,0.6,13,1.51,0
Monsoon,848,28.6,93,0.72,20,1.75,0
Monsoon,777,29.9,86,0.72,3,2.25,0
Pre-Monsoon,721,27.3,71,0.34,4,0.95,3
Winter,684,16.3,70,0.09,12,2.09,1
Monsoon,508,27.5,98,0.56,11,2.16,0
Monsoon,428,28.5,85,0.61,2,2.02,0
Monsoon,328,27.5,85,0.62,19,1.85,0
Monsoon,386,28.9,94,0.87,3,2.92,0
Post-Monsoon,628,27.5,84,0.15,1,1.03,3
Winter,941,12.8,70,0.01,18,1.02,3
Post-Monsoon,709,18.0,85,0.3,18,1.98,1
Monsoon,555,27.9,90,0.57,19,2.75,0
Monsoon,624,23.1,96,0.57,14,1.68,0
Post-Monsoon,888,23.4,73,0.2,19,2.46,1
Post-Monsoon,690,20.3,79,0.29,0,2.66,1
Winter,786,14.6,69,0.1,22,1.13,3
Monsoon,426,26.4,85,0.77,22,2.43,0
Monsoon,873,26.0,96,0.92,4,1.62,0
Monsoon,418,26.0,87,0.77,16,2.42,0
Pre-Monsoon,626,30.1,63,0.28,15,2.97,2
Pre-Monsoon,687,28.3,70,0.18,20,1.23,1
Monsoon,819,29.7,98,0.81,21,2.77,0
Winter,284,18.6,77,0.1,21,2.25,0
Post-Monsoon,643,19.8,83,0.16,22,1.14,3
Monsoon,703,27.3,95,0.78,5,2.65,0
Monsoon,583,27.5,94,0.5,22,2.12,0
Post-Monsoon,539,18.6,83,0.11,21,2.25,0
Monsoon,252,29.4,89,0.73,8,1.73,0
Post-Monsoon,855,18.3,77,0.22,1,1.29,1
Monsoon,557,22.5,88,0.7,9,1.76,0
Pre-Monsoon,481,30.2,61,0.49,9,2.71,0
Pre-Monsoon,295,27.0,68,0.46,4,1.56,0
Post-Monsoon,724,19.0,81,0.27,0,2.98,2
Post-Monsoon,467,26.7,75,0.37,9,2.33,0
Pre-Monsoon,468,29.4,66,0.54,23,3.28,0
Monsoon,278,27.3,97,0.8,9,1.41,0
Monsoon,812,26.7,90,0.59,7,1.48,0
Monsoon,915,22.1,87,0.88,12,1.75,0
Monsoon,451,27.2,88,0.71,5,1.34,0
Post-Monsoon,624,20.5,80,0.35,12,1.93,1
Post-Monsoon,463,21.3,75,0.31,2,2.74,0
Monsoon,587,27.6,97,0.82,15,2.54,0
Monsoon,521,24.8,88,0.68,11,0.87,0
Pre-Monsoon,591,29.9,75,0.42,6,1.69,0
Pre-Monsoon,268,25.2,72,0.59,22,2.17,0
Post-Monsoon,790,18.9,75,0.36,0,2.18,0
Winter,737,17.3,69,0.13,11,2.15,1
Pre-Monsoon,802,30.8,70,0.18,9,1.28,1
Monsoon,489,22.3,95,0.66,21,1.23,0
Post-Monsoon,527,26.5,85,0.11,10,1.17,0
Pre-Monsoon,491,31.4,72,0.48,10,1.95,0
Post-Monsoon,859,24.3,82,0.37,15,1.28,0
Monsoon,282,23.6,93,0.55,9,3.23,0
Monsoon,304,24.7,96,0.95,21,1.75,0
Post-Monsoon,722,23.6,75,0.27,13,1.11,3
Post-Monsoon,312,27.9,74,0.18,14,1.07,4
Monsoon,795,26.4,89,0.76,9,1.9,0
Monsoon,404,28.6,98,0.51,7,2.84,0
Monsoon,500,22.3,88,0.88,2,1.31,0
Monsoon,902,23.9,96,0.74,12,2.53,0
Monsoon,627,23.1,87,0.53,21,1.04,0
Pre-Monsoon,904,27.4,79,0.27,3,1.34,1
Winter,522,17.8,73,0.15,21,2.76,0
Winter,612,14.0,65,0.04,13,2.03,1
Post-Monsoon,668,27.1,80,0.28,19,1.41,1
Monsoon,639,22.2,89,0.86,3,1.87,0
Pre-Monsoon,602,29.8,75,0.32,6,1.45,1
Pre-Monsoon,806,28.7,63,0.16,14,2.04,1
Monsoon,292,25.7,94,0.67,7,1.52,0
Monsoon,270,29.6,93,0.51,19,2.07,0
Pre-Monsoon,658,25.3,67,0.19,15,2.44,1
Post-Monsoon,287,22.2,78,0.18,5,2.29,0
Pre-Monsoon,943,30.9,61,0.15,13,1.22,1
Winter,678,18.7,80,0.1,18,2.03,1
Winter,824,14.7,66,0.05,18,3.31,2
Monsoon,854,25.1,86,0.72,4,2.53,0
Pre-Monsoon,343,26.5,77,0.56,23,2.45,0
Pre-Monsoon,264,30.2,67,0.22,15,2.45,0
Monsoon,647,26.6,91,0.97,5,1.56,0
Monsoon,746,24.8,96,0.9,13,2.18,0
Post-Monsoon,645,19.0,80,0.39,8,2.65,0
Monsoon,568,29.7,98,0.79,22,2.17,0
Monsoon,288,22.5,88,0.95,22,1.33,0
Monsoon,270,27.5,87,0.73,15,1.69,0
Pre-Monsoon,922,27.6,73,0.56,9,2.22,0
Monsoon,281,27.9,89,0.76,0,1.76,0
Pre-Monsoon,375,29.2,68,0.41,18,3.1,0
Post-Monsoon,680,18.1,75,0.17,13,1.62,1
Pre-Monsoon,857,30.0,83,0.58,18,1.13,0
Monsoon,938,28.5,87,0.66,8,2.32,0
Monsoon,357,30.0,90,0.74,4,1.33,0
Post-Monsoon,826,26.5,76,0.29,9,1.73,1
Monsoon,327,24.4,90,0.96,8,1.33,0
Post-Monsoon,864,27.8,78,0.31,14,1.91,1
Monsoon,842,28.1,98,0.9,6,1.52,0
Monsoon,840,23.6,96,0.84,16,1.97,0
Monsoon,771,26.6,96,0.52,15,1.66,0
Post-Monsoon,728,24.4,81,0.25,20,2.43,1
Post-Monsoon,627,21.7,71,0.24,1,1.63,1
Monsoon,930,26.1,92,0.79,11,2.33,0
Pre-Monsoon,669,32.0,74,0.51,1,1.25,0
Pre-Monsoon,680,32.2,81,0.31,6,1.97,1
Winter,250,17.3,80,0.03,22,2.79,0
Pre-Monsoon,912,31.3,69,0.43,17,2.38,0
Pre-Monsoon,737,31.8,77,0.53,12,1.82,0
Monsoon,800,24.7,92,0.99,14,1.91,0
Monsoon,470,29.8,86,0.63,2,1.4,0
Monsoon,609,22.7,92,0.69,19,3.03,0
Winter,851,20.7,66,0.1,18,2.31,1
Pre-Monsoon,411,31.7,68,0.6,21,1.7,0
Monsoon,358,28.7,87,0.76,20,1.14,0
Post-Monsoon,693,18.0,73,0.19,11,1.76,1
Monsoon,933,26.8,87,0.66,23,1.19,0
Pre-Monsoon,855,28.7,72,0.12,16,2.62,1
Monsoon,455,22.0,90,0.98,3,2.46,0
Monsoon,454,26.9,96,0.93,9,2.09,0
Post-Monsoon,424,26.9,85,0.21,11,2.87,0
Post-Monsoon,500,23.2,77,0.36,10,2.15,0
Winter,834,18.6,70,0.04,5,2.02,1
Winter,487,13.5,77,0.01,18,1.72,0
Winter,320,19.1,70,0.11,7,1.84,0
Monsoon,444,22.4,96,0.87,11,2.02,0
Monsoon,543,27.4,98,0.91,14,1.26,0
Monsoon,871,24.8,98,0.57,19,1.52,0
Monsoon,737,25.0,94,0.61,18,1.8,0
Monsoon,762,26.2,94,0.75,21,2.13,0
Winter,735,16.0,76,0.12,0,1.0,3
Pre-Monsoon,414,25.6,75,0.31,1,2.28,0
Winter,751,15.2,75,0.05,11,1.36,1
Monsoon,599,26.3,92,0.76,17,2.17,0
Winter,334,15.5,68,0.15,15,2.34,0
Monsoon,251,23.8,96,0.82,1,2.58,0
Post-Monsoon,878,21.5,72,0.19,18,2.56,1
Pre-Monsoon,782,28.4,73,0.4,20,1.98,0
Pre-Monsoon,386,26.0,60,0.58,14,2.61,0
Monsoon,646,27.9,93,0.69,23,0.91,0
Post-Monsoon,758,26.7,82,0.32,20,1.46,1
Monsoon,879,22.8,89,0.57,7,2.31,0
Monsoon,362,28.1,93,0.53,19,2.56,0
Monsoon,598,28.1,93,0.73,8,2.32,0
Monsoon,718,27.2,92,0.95,1,2.2,0
Monsoon,368,24.3,88,0.84,8,2.14,0
Monsoon,931,24.7,97,0.76,2,1.49,0
Winter,367,15.7,65,0.07,21,2.05,0
Post-Monsoon,556,22.1,82,0.12,23,1.78,1
Monsoon,431,23.4,85,0.92,9,2.16,0
Winter,530,12.9,79,0.11,3,0.77,0
Post-Monsoon,717,27.4,78,0.32,21,1.1,3
Winter,736,16.3,71,0.09,4,2.08,1
Monsoon,327,28.5,90,0.63,13,1.12,0
Post-Monsoon,886,23.8,77,0.26,10,1.25,1
Monsoon,264,29.8,92,0.82,16,1.19,0
Monsoon,365,26.4,98,0.87,17,1.69,0
Monsoon,338,23.3,94,0.76,9,1.33,0
Post-Monsoon,819,22.0,76,0.37,20,1.54,0
Monsoon,607,23.0,98,0.7,1,1.4,0
Monsoon,560,26.2,96,0.66,6,2.9,0
Monsoon,714,28.0,94,0.66,7,2.22,0
Post-Monsoon,567,22.0,76,0.15,22,3.25,2
Pre-Monsoon,265,25.9,79,0.48,6,2.93,0
Post-Monsoon,389,24.0,78,0.32,5,2.99,0
Monsoon,511,24.2,88,0.91,3,0.99,0
Monsoon,914,27.8,98,0.96,4,1.41,0
Monsoon,636,26.8,90,0.83,6,1.77,0
Winter,824,20.5,69,0.05,11,1.75,1
Pre-Monsoon,949,27.2,83,0.12,1,1.01,3
Winter,422,12.6,68,0.0,4,2.12,0
Post-Monsoon,397,20.0,70,0.36,13,1.8,0
Winter,357,15.8,70,0.12,8,1.52,0
Pre-Monsoon,888,29.4,82,0.32,22,1.03,3
Pre-Monsoon,380,25.4,85,0.51,5,1.81,0
Monsoon,492,27.5,87,0.66,16,2.57,0
Winter,808,21.8,65,0.09,2,1.78,1
Post-Monsoon,844,20.9,76,0.34,6,1.56,1
Winter,935,14.3,72,0.08,1,2.94,2
Monsoon,864,27.8,96,0.97,5,1.48,0
Post-Monsoon,739,25.9,82,0.17,14,1.34,1
Post-Monsoon,824,23.1,76,0.38,14,3.25,0
Pre-Monsoon,668,25.4,67,0.57,6,1.0,0
Pre-Monsoon,537,27.9,63,0.35,12,3.43,0
Monsoon,601,29.5,85,0.51,17,1.71,0
Winter,798,14.1,71,0.04,22,2.39,1
Monsoon,535,24.0,93,0.99,0,2.24,0
Pre-Monsoon,309,26.0,76,0.33,1,2.11,0
Post-Monsoon,534,18.5,85,0.12,4,1.18,0
Post-Monsoon,828,24.1,71,0.38,8,1.87,0
Pre-Monsoon,315,32.8,64,0.34,13,1.26,0
Winter,564,15.2,79,0.0,22,2.66,1
Monsoon,620,26.3,98,0.62,11,1.04,0
Monsoon,313,24.3,98,0.6,13,2.04,0
Monsoon,573,25.6,90,0.65,23,1.91,0
Pre-Monsoon,483,32.6,65,0.46,8,2.76,0
Monsoon,631,26.3,96,0.64,4,2.14,0
Monsoon,779,29.8,86,0.54,0,1.93,0
Pre-Monsoon,898,28.3,69,0.33,11,2.32,1
Monsoon,714,23.1,90,0.73,7,1.48,0
Winter,610,18.1,74,0.13,2,2.65,1
Post-Monsoon,767,24.8,85,0.17,8,1.19,3
Pre-Monsoon,691,25.2,74,0.55,15,2.45,0
Winter,570,19.2,75,0.06,1,1.8,1
Post-Monsoon,725,24.1,77,0.18,18,1.47,1
Monsoon,736,29.0,94,0.97,5,1.61,0
Post-Monsoon,449,24.4,84,0.3,8,2.28,0
Pre-Monsoon,853,27.0,65,0.41,11,2.39,0
Pre-Monsoon,805,32.7,81,0.24,20,1.97,1
Winter,303,20.3,78,0.01,10,1.54,0
Monsoon,578,25.6,98,0.83,14,2.33,0
Monsoon,887,29.1,89,0.95,12,1.52,0
Pre-Monsoon,564,27.7,78,0.31,15,1.85,1
Monsoon,257,28.8,92,0.65,2,1.88,0
Monsoon,414,26.2,90,0.65,23,1.88,0
Monsoon,880,24.6,86,0.6,1,1.31,0
Monsoon,310,26.5,96,0.83,13,2.8,0
Post-Monsoon,663,25.6,81,0.16,11,1.12,3
Post-Monsoon,498,22.5,77,0.16,13,1.67,0
Monsoon,744,29.7,90,0.94,9,2.07,0
Monsoon,745,26.3,88,1.0,6,1.05,0
Monsoon,889,28.0,90,0.94,9,1.84,0
Pre-Monsoon,584,25.8,60,0.21,18,1.91,1
Pre-Monsoon,652,32.1,72,0.58,11,1.32,0
Post-Monsoon,899,20.4,76,0.37,12,1.27,0
Post-Monsoon,555,20.6,78,0.14,8,1.04,3
Pre-Monsoon,404,27.0,62,0.25,15,3.03,0
Post-Monsoon,295,23.1,70,0.32,23,1.71,0
Winter,735,19.7,73,0.06,13,1.6,1
Monsoon,732,24.8,92,0.97,1,2.41,0
Monsoon,530,22.8,88,0.74,6,2.15,0
Monsoon,821,28.6,97,0.8,22,2.61,0
Monsoon,362,22.7,94,0.64,20,1.52,0
Pre-Monsoon,405,25.8,69,0.39,23,1.67,0
Monsoon,646,27.4,94,0.95,15,1.67,0
Monsoon,917,29.5,93,0.75,8,2.44,0
Monsoon,788,25.6,92,0.72,4,2.02,0
Winter,301,19.0,80,0.01,21,0.88,4
Monsoon,415,23.4,96,0.93,1,1.81,0
Monsoon,481,29.3,94,0.96,11,1.94,0
Winter,686,20.4,80,0.03,0,2.85,2
Monsoon,324,26.0,94,0.69,8,2.54,0
Post-Monsoon,696,21.4,83,0.28,7,2.13,1
Winter,711,12.8,69,0.07,19,1.24,1
Monsoon,779,29.6,95,0.56,20,1.93,0
Pre-Monsoon,715,31.7,78,0.39,17,1.96,0
Post-Monsoon,814,22.3,84,0.34,16,2.42,1
Post-Monsoon,885,24.7,83,0.12,19,2.3,1
Monsoon,688,25.5,95,0.78,22,2.48,0
Monsoon,329,23.5,95,0.73,14,1.87,0
Monsoon,841,25.8,94,0.74,21,1.49,0
Post-Monsoon,458,24.6,85,0.13,0,2.69,0
Monsoon,610,28.3,86,0.78,14,2.01,0
Winter,487,14.4,80,0.02,6,1.75,0
Monsoon,832,27.3,86,0.56,0,1.47,0
Monsoon,863,26.0,98,0.86,15,1.1,0
Monsoon,736,26.1,90,0.52,0,1.94,0
Monsoon,763,28.2,89,0.76,13,1.45,0
Pre-Monsoon,846,28.6,78,0.52,2,1.66,0
Pre-Monsoon,856,29.1,60,0.21,15,2.14,1
Winter,404,13.3,75,0.08,21,3.03,0
Monsoon,824,26.1,96,0.8,21,1.41,0
Monsoon,810,26.5,89,0.79,19,1.72,0
Monsoon,304,29.1,85,0.63,12,2.17,0
